domain,has_privacy,has_cookies,has_legal,has_data_prot,privacy_controller_present,dpo_contact_present,rights_sum,legal_bases_sum,retention_present,recipients_sum,transfer_scope,consent_mechanism,cookies_total,cookies_3p_ratio,cookies_session_ratio,tracker_hit_ratio,req_3p_ratio,req_3p_top,total_sec_headers,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,tls_version_max,tls_days_until_expiry,tls_cipher_fs_ratio,tls_cipher_weak_ratio,compliance_score,matches,violations,possible_transfer_violation,ok_cookie_ownership,ok_cookie_session_only,ok_consent_prior,ok_no_tracking_claim,rights_pct,security_score,security_score_pct
secegsa.gob.es,False,True,True,False,False,True,0,0,True,0,,banner,11.0,0.818,0.0,0.826,0.85,gstatic.com;google.com;jsdelivr.net;fontawesome.com;googletagmanager.com,4.0,1.0,0.0,0.0,1.0,1.0,1.0,TLS_1_3,75.0,0.596,0.34,0.0,0,1,,,,False,,0.0,4.0,0.6666666666666666
sede.administracion.gob.es,True,False,True,False,True,True,7,3,True,1,NONE,,19.0,0.0,0.474,0.435,0.435,google.com;googletagmanager.com;doubleclick.net;google.es,4.0,1.0,0.0,0.0,1.0,1.0,1.0,TLS_1_3,160.0,0.5,0.0,0.5,1,1,True,,,,False,1.0,4.0,0.6666666666666666
sede.administracionespublicas.gob.es,False,False,True,True,False,True,1,0,True,0,,,4.0,0.0,1.0,0.409,0.409,googletagmanager.com,4.0,1.0,0.0,0.0,1.0,1.0,1.0,TLS_1_2,160.0,0.636,0.364,0.0,0,1,,,,,False,0.14285714285714285,4.0,0.6666666666666666
sede.agenciatributaria.gob.es,False,False,True,False,False,True,0,0,True,0,,,9.0,0.0,0.111,0.685,0.685,googletagmanager.com;google-analytics.com;bimappweb.com,3.0,1.0,1.0,0.0,0.0,1.0,0.0,TLS_1_3,98.0,0.4,0.0,0.0,0,1,,,,,False,0.0,3.0,0.5
sede.defensa.gob.es,True,True,False,False,True,True,6,0,True,0,,banner,1.0,0.0,1.0,0.0,0.0,,3.0,1.0,0.0,0.0,0.0,1.0,1.0,TLS_1_2,58.0,1.0,0.0,1.0,1,0,,,,True,,0.8571428571428571,3.0,0.5
sede.dgt.gob.es,True,True,True,False,True,True,6,3,True,0,,cmp,117.0,0.077,0.855,0.849,0.885,datatables.net;gstatic.com;cloudflare.com;jsdelivr.net;translate.googleapis.com,2.0,0.0,0.0,0.0,1.0,0.0,1.0,TLS_1_3,54.0,0.667,0.0,0.0,0,1,,,,False,,0.8571428571428571,2.0,0.3333333333333333
sede.fnmt.gob.es,True,True,True,False,True,True,7,1,True,0,NONE,banner,9.0,0.0,0.333,0.636,0.646,gstatic.com;google-analytics.com;go-mpulse.net;fonts.googleapis.com;googletagmanager.com,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,2,0,True,,,True,,1.0,3.0,0.5
sede.funciona.gob.es,False,False,True,True,False,True,1,0,True,0,,,40.0,0.0,0.85,0.429,0.429,google-analytics.com;googletagmanager.com,3.0,0.0,0.0,0.0,1.0,1.0,1.0,TLS_1_2,160.0,0.63,0.37,0.0,0,1,,,,,False,0.14285714285714285,3.0,0.5
sede.minetur.gob.es,False,True,True,True,False,True,7,0,True,0,,banner,,,,,,,,,,,,,,,,,,0.0,0,1,,,,False,,1.0,0.0,0.0
sede.mjusticia.gob.es,True,True,True,True,True,True,6,3,True,1,NONE,none,7.0,0.0,0.143,0.505,0.505,insuit.net;piwik.pro,3.0,1.0,0.0,0.0,0.0,1.0,1.0,TLS_1_3,223.0,0.596,0.34,1.0,1,0,True,,,,,0.8571428571428571,3.0,0.5
